170100,28
561100,1
561000,11
831600,15
170800,6
830500,1
222800,6
222900,2
230700,6
130300,8
700401,1
580400,5
842900,26
210100,17
140800,8
020601,6
020901,10
611400,2
310800,19
280400,5
242200,18
842600,64
310200,10
600700,81
833000,140
842200,39
832000,21
031100,17
080300,81
491400,4
691000,6
838800,55
520100,9
150401,15
210800,6
061000,16
320100,172
242500,30
841900,112
410800,104
032100,23
010600,20
840300,84
081600,80
750500,9
510300,10
630300,3
063400,56
081500,107
241500,54
351000,27
620200,41
842800,6
320600,84
063301,48
340400,8
842400,13
740100,5
832600,40
060400,13
831100,16
411000,83
030103,19
760802,162
170300,7
040402,62
280100,122
100500,17
280900,10
081403,90
151200,3
020500,12
836600,11
550100,18
310600,31
841300,45
071400,40
410100,29
063100,41
210400,1
831000,11
842300,41
080202,24
843600,23
250800,5
210502,5
430400,7
220602,543
020602,15
230500,4
031200,58
841100,78
833900,10
120200,42
530300,3
250700,3
838300,31
070300,38
031502,61
050200,178
080201,12
831500,70
834900,3
380200,13
140100,6
160700,35
070102,22
140200,29
081402,43
320400,120
070400,15
830800,49
071500,80
839100,348
020100,6
832500,32
071000,24
071100,33
062800,16
062200,24
839000,91
062000,117
061901,22
040100,43
831800,46
061800,11
062100,75
030500,27
220400,22
040900,108
050100,48
070101,25
070103,8
040600,134
081800,128
040700,24
832400,16
832300,16
221100,895
281900,95
150502,6
410700,40
241400,71
340500,11
580100,8
832200,13
220500,35
060200,17
031800,20
061100,17
220902,825
040300,7
081300,61
061500,6
081700,168
030102,15
140701,13
070600,5
833100,65
140301,3
150800,9
150200,18
031700,29
980000,96
210700,7
210501,12
140400,18
031000,16
240300,28
411200,228
381400,17
090200,13
040201,45
221300,23
242000,39
410600,24
243200,20
071200,56
071800,18
411100,287
330100,100
222200,18
060500,6
242600,15
222500,9
081900,6
080400,48
100600,10
062300,32
750300,4
431302,4
030900,25
160602,6
050300,9
081100,30
242100,21
430102,31
660600,4
020400,4
300900,7
430600,8
161000,9
430500,4
081201,68
222700,11
220901,669
220601,258
210602,18
220300,10
161300,14
221500,15
240800,15
221400,25
830900,36
836700,17
241300,12
242300,19
241200,32
240500,31
241100,54
221600,16
221200,8
230200,11
230900,20
070200,20
220701,69
130100,22
210601,6
210900,17
200200,6
200100,3
222600,4
020200,9
836800,6
221000,583
030200,15
243100,12
838000,18
020802,16
081202,35
833300,38
062700,22
841200,9
242900,17
081401,61
110502,20
071300,9
050900,5
110200,11
150300,7
151002,5
031400,18
980100,24
060900,19
832900,5
840800,5
839900,138
050800,8
050700,2
650500,36
030800,31
242400,41
600600,33
063000,55
243400,27
830700,58
243500,49
830600,12
520200,3
243300,6
062900,14
310300,15
310500,5
839800,18
110100,8
835000,8
060100,18
081000,41
062500,9
061200,8
480200,7
410900,95
390100,8
030400,23
840700,8
836200,152
190300,12
062400,6
420400,24
100100,6
841000,17
431200,1
430200,13
440202,7
420700,6
420600,3
620100,8
241000,21
243000,15
570300,4
080100,38
150600,3
120300,24
831900,16
310700,7
241600,14
050500,13
160400,6
240900,8
050600,25
040401,11
283100,20
340300,6
020702,12
611500,4
030300,9
190200,5
031900,30
838100,23
831200,13
140602,1
600400,10
330200,13
020801,5
837800,18
051100,7
140702,10
838200,79
030101,13
240200,11
600900,8
171000,5
242800,24
160800,11
060300,26
063302,75
120400,4
010503,21
280800,15
051000,3
381800,6
836100,6
640100,6
640800,4
242700,11
010702,16
010502,13
010400,43
010202,19
010100,5
500200,10
630800,7
700402,7
520400,9
252201,3
834300,18
282800,3
283200,9
140601,6
010300,13
030701,31
810400,12
560900,8
063200,66
250500,52
030706,33
640300,5
835200,3
839700,50
710700,4
710900,2
640500,1
580200,4
490800,7
292500,2
380100,9
390300,8
100200,63
836000,9
843800,9
832100,16
430700,11
843700,30
040800,9
580700,4
843300,8
160502,3
838700,6
301702,2
160300,11
130200,10
730700,105
160100,2
611200,2
010501,8
null,5
150402,5
842000,51
351500,25
020701,6
840200,79
700100,7
610800,15
161100,22
110400,12
750200,4
070700,41
240600,14
110300,3
560800,8
190402,2
171100,6
450300,5
837100,3
430101,3
835500,6
252101,3
835600,5
834600,3
090100,5
310900,7
760803,6
834800,8
460301,2
461000,13
460100,8
530200,4
020902,6
040202,29
191000,8
190100,5
251300,1
251500,3
170400,4
831400,7
843000,10
292400,7
843500,7
560400,2
640700,8
420800,3
